ID ;ChGender ;T1MROPC ;T1MVC ;T1DVC ;T1DROPC ;T2MROPC ;T2MVC ;T2DROPC ;T2DVC ;T3MROPC ;T3MVC ;T3DROPC ;T3DVC
400380;1;1.67;2;3.25;3;1.67;3;3;2.5;1.67;3;3;2.5
400381;2;3;2.75;2.25;1.33;2.67;2.75;2.67;2.75;2.33;3.5;1.67;3.25
400382;2;2.33;2.75;3;1.67;2.67;3;1.67;3;2.33;2.5;1.33;2
400383;2;2.67;2.75;2.5;2.33;3.67;2.75;3;1.75;2.67;3;2;1.75
400385;1;2;1.75;3;2;3.33;1.75;1.67;2.5;1.67;2.25;2;2.5
400387;2;3.33;2.75;2.5;1.33;2;2.75;1;2.25;2;3.25;2.33;3.25
400389;1;2;2.25;2.25;1.33;1.67;2.25;99;99;2.33;2.5;99;99
400391;2;1.33;2.75;3.75;1.67;1;3;1;2.5;1;2.5;1;2
400394;1;3.33;2.75;1.75;2.67;3.33;2.5;3;3;3;2.5;3;3
400395;1;2.67;3.5;3.25;2;2.67;2.75;2;2.5;2.67;3;2.33;2.5
400396;1;1;1;1.75;1.67;99;99;99;99;1;1;1;1.25
400397;2;1.67;2.25;2;2.67;2.67;2.25;2.67;2.75;2;2;2.33;2.75
400398;2;1;3;2.75;2.33;1.33;3;2.33;2.75;1;2.75;1.67;3
400399;2;1;2.5;1.75;2.33;1.67;2;3;1.75;1;1.5;2.33;1.5
400400;1;2.33;2.25;2;1;1;2;1.33;1.5;1;1.5;1;2
400401;1;1.33;1.75;2.75;1;1.67;3;1;1.75;1.33;1;1.33;2
